no,name,lat,lng
164,新竹市成德一街照成德樓(全景)2,24.7909191,120.953335
165,新竹市成德崧嶺往崧嶺路車牌,24.7909191,120.953335
166,新竹市成德崧嶺往成德路車牌,24.7909191,120.953335
167,新竹市崧嶺路往中山路車牌,24.7909191,120.953335
168,新竹市崧嶺路往成德崧嶺圓環,24.7932136,120.954498
169,新竹市成德路往崧嶺路,24.7932136,120.954498
170,新竹市崧嶺路57巷口1,24.7929955,120.951835
171,新竹市崧嶺路57巷口2,24.7909191,120.953335
172,新竹市崧嶺路120巷1,24.7929955,120.951835
173,新竹市崧嶺路120巷2,24.7929955,120.951835
174,新竹市崧嶺路往崧嶺路128巷口1,24.7918807,120.9538639
175,新竹市崧嶺路往崧嶺路128巷口2,24.7918807,120.9538639
176,新竹市崧嶺路178巷1,24.8045231,120.9630393
177,新竹市崧嶺路178巷2,24.8033758,120.9635609
178,新竹市崧嶺路底1,24.7901306,120.9540715
179,新竹市崧嶺路底2,24.7901306,120.9540715
180,新竹市西大路469巷照巷內車牌,24.7909191,120.953335
181,新竹市和福街往中山路,24.7909191,120.953335
182,新竹市石坊街往西門街74巷,24.8026576,120.9646963
183,新竹市西門和福往西大路,24.8013589,120.9618323
184,新竹市中山路照石坊街口全景,24.8091429,120.957599
185,新竹市石坊街71號前全景,24.8027555,120.9634899
186,新竹市勝利路往西門街口(全),24.8026576,120.9646963
187,新竹市西門街64巷全景,24.7994502,120.9581277
188,新竹市石坊街防火巷全景,24.8010929,120.9628103
189,新竹市中和路與經國二段口,24.8038275,120.9551237
190,新竹市淩雲街與經國路,24.8018057,120.963947
191,新竹市育英路431巷(修德寺旁),24.8021109,120.9546246
192,新竹市興南街往興南25巷口,24.8010473,120.9636955
193,新竹市西門街182巷口,24.8013589,120.9618323
194,新竹市西門201巷與四維70巷口,24.7995898,120.9625934
195,新竹市仁化街巷口全景,24.8047204,120.9647998
196,新竹市西大路江山街照街內,24.8050668,120.9640335
197,新竹市仁化街巷底全景,24.8047204,120.9647998
198,新竹市仁德江山街口照街內,24.8043659,120.9638186
199,新竹市江山街16巷24號,24.8007791,120.9564203
200,新竹市中和路與中和路15巷口,24.8050208,120.9642533
201,新竹市民富路與中和路15巷口,24.8006129,120.9575289
